v1,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v19,classLabel,v2_0,v2_1
True,5.4e-05,u,g,c,v,1.75,False,True,1,True,g,80,5,False,False,17,92
False,3.35e-05,y,p,k,v,0.29,False,False,0,False,s,200,0,False,False,16,92
False,0.0001125,u,g,ff,ff,0.0,False,True,1,False,g,96,19,False,False,31,25
True,0.0001335,u,g,i,o,0.335,False,False,0,False,g,0,120,False,False,48,17
False,0.00035,u,g,k,v,0.5,False,False,0,True,g,232,0,False,False,32,33
True,0.000125,y,p,i,h,0.5,False,False,0,True,g,160,0,False,False,34,83
True,0.0002,u,g,j,j,0.0,False,False,0,True,g,276,1,False,False,26,17
False,8.75e-05,y,p,c,h,0.25,False,False,0,False,g,280,204,False,False,21,17
False,3.75e-05,u,g,c,v,0.29,False,False,0,False,g,220,140,False,False,28,92
False,0.001025,u,g,c,h,1.085,False,False,0,False,g,320,13,False,False,18,17
True,0.0013665,u,g,q,h,1.5,False,False,0,False,g,280,1,False,False,24,75
True,0.0003,y,p,j,j,0.0,False,False,0,False,g,160,20,False,False,31,75
True,0.001,y,p,q,h,0.165,False,False,0,False,g,340,0,False,False,18,17
True,0.001,u,g,W,v,1.0,False,True,1,False,g,120,1,False,False,18,25
False,0.001,u,g,W,h,0.165,False,True,1,False,g,120,1,False,False,17,58
False,0.000204,y,p,ff,ff,1.5,False,False,0,False,g,120,1,False,False,51,83
False,0.0014585,u,g,i,bb,0.0,False,False,0,True,g,178,0,False,False,26,67
False,0.00155,u,g,c,v,0.5,True,False,0,False,g,120,0,False,False,31,42
False,0.000325,u,g,c,h,2.29,False,True,1,True,g,416,21,False,False,25,67
False,0.000275,u,g,i,bb,0.0,False,False,0,False,g,180,0,False,False,33,75
False,0.0002335,u,g,d,h,5.75,False,False,0,True,g,292,0,False,False,32,75
False,5e-05,u,g,m,v,0.25,True,False,0,False,s,288,0,False,False,39,83
False,0.00165,y,p,c,v,4.0,True,False,0,False,g,80,0,False,False,35,25
True,0.00025,y,p,i,bb,4.5,False,False,0,False,g,200,456,False,False,24,33
True,3.75e-05,u,g,c,v,1.0,False,False,0,False,g,120,18,False,False,15,75
True,0.0001375,u,g,W,h,0.04,False,True,3,False,g,0,33,False,False,30,42
False,0.0003,u,g,k,v,0.04,False,False,0,True,g,160,40,False,False,17,25
True,0.0005,u,g,cc,v,13.5,True,False,0,True,g,980,0,False,False,38,58
False,7.5e-05,u,g,i,v,1.585,False,True,1,True,g,400,9,False,False,22,67
False,0.00015,u,g,W,v,2.25,False,True,1,True,g,100,3,False,False,27,83
True,0.000125,u,g,q,v,0.25,False,True,1,False,g,108,98,False,False,16,5
False,0.000221,y,p,aa,v,4.0,True,False,0,False,g,188,0,False,False,25,67
False,0.0002,u,g,i,v,0.25,False,False,0,True,g,221,0,False,False,36,67
False,8.35e-05,u,g,cc,v,1.165,False,False,0,False,g,100,0,False,False,26,17
True,7.5e-05,u,g,q,h,2.75,True,True,1,False,g,333,892,True,True,47,25
